You will repeatedly observe sequences of six letters.
You have to remember these letters before they disappear.
Afterward, you will be prompted with one letter. You have to answer whether the letter was part of the six previous letters.
If you think it was, you have to press N. If you think it was not, press L.

You are shown the letters ['F', 'P', 'V', 'Q', 'G', 'L']. You see the letter T. You press <<L>>.
You are shown the letters ['H', 'A', 'W', 'R', 'Q', 'O']. You see the letter V. You press <<L>>.
You are shown the letters ['J', 'W', 'A', 'K', 'H', 'F']. You see the letter W. You press <<N>>.
You are shown the letters ['A', 'V', 'L', 'I', 'J', 'W']. You see the letter Y. You press <<L>>.
You are shown the letters ['N', 'S', 'V', 'B', 'A', 'L']. You see the letter S.
You are shown the letters ['T', 'K', 'G', 'V', 'N', 'S']. You see the letter A. You press <<L>>.
You are shown the letters ['K', 'T', 'G', 'R', 'I', 'W']. You see the letter R. You press <<N>>.
You are shown the letters ['T', 'C', 'H', 'G', 'O', 'K']. You see the letter U. You press <<L>>.
You are shown the letters ['Z', 'X', 'C', 'H', 'M', 'T']. You see the letter W. You press <<L>>.
You are shown the letters ['P', 'X', 'B', 'C', 'Z', 'S']. You see the letter C. You press <<N>>.
You are shown the letters ['B', 'L', 'J', 'P', 'F', 'X']. You see the letter J. You press <<N>>.
You are shown the letters ['Q', 'B', 'L', 'J', 'E', 'W']. You see the letter Q.
You are shown the letters ['T', 'Q', 'B', 'R', 'C', 'L']. You see the letter P. You press <<N>>.
You are shown the letters ['B', 'X', 'Q', 'K', 'T', 'U']. You see the letter C. You press <<L>>.
You are shown the letters ['X', 'B', 'Q', 'G', 'O', 'N']. You see the letter N. You press <<L>>.
You are shown the letters ['B', 'J', 'E', 'Q', 'X', 'V']. You see the letter G. You press <<N>>.
You are shown the letters ['Y', 'A', 'E', 'J', 'B', 'U']. You see the letter X. You press <<N>>.
You are shown the letters ['O', 'E', 'A', 'Y', 'G', 'H']. You see the letter B. You press <<L>>.
You are shown the letters ['Z', 'A', 'K', 'E', 'N', 'O']. You see the letter E. You press <<N>>.
You are shown the letters ['K', 'U', 'Z', 'L', 'I', 'A']. You see the letter N. You press <<L>>.
You are shown the letters ['U', 'Y', 'M', 'J', 'K', 'Z']. You see the letter M. You press <<N>>.
You are shown the letters ['U', 'Y', 'N', 'E', 'M', 'H']. You see the letter M. You press <<N>>.
You are shown the letters ['V', 'X', 'N', 'O', 'U', 'Y']. You see the letter E. You press <<L>>.
You are shown the letters ['N', 'P', 'W', 'X', 'K', 'V']. You see the letter U. You press <<L>>.
You are shown the letters ['Z', 'C', 'N', 'W', 'E', 'P']. You see the letter U.
